CLIENT_CATEGORY;SEGMENT;Service;Channeltype;Source;football;DECLARED_FAULT;CREATE_DATE;CLOSETIME;all_num_of_repeat;num_of_repeat2;num_of_repeat5;num_of_repeat10;num_of_repeat30;num_of_repeat60;MITYPE;MIPRIORITY;MIIMPACT;TECHNICAL_DISTRICT;NumWFMforEI;Last_WFM_days_waiting;EIDayOfWeek;EIHourCreate
ФЛ;МР;8679;9633;8750;4;IP TV. Черный или синий экран;1502087379;1502150400;6;0;0;0;2;2;1;0;0;0;0;0;2;9
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502087425;1502180548;2;1;1;1;2;2;0;0;0;10;1;1;2;9
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502087391;1502092136;6;0;0;0;1;2;0;0;0;0;0;0;2;9
ФЛ;МР;8679;9633;8750;6;Интернет. Не работает интернет;1502087491;1502150400;6;1;1;2;4;5;1;0;0;48;2;2;2;9
ФЛ;МР;8680;9204;8750;3;Телефония. Тишина в трубке;1502087456;1502102139;1;0;0;0;1;1;0;0;0;42;1;0;2;9
ФЛ;МР;8679;9204;8750;4;Интернет. Не открываются страницы;1502087547;1502150400;2;0;0;0;1;1;1;0;0;0;0;0;2;9
ФЛ;МР;8678;9633;8750;2;Интернет. Не открываются страницы;1502087604;1502150400;5;0;0;0;1;2;1;0;0;48;1;4;2;9
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502087606;1502122677;4;0;0;0;1;1;0;0;0;8;1;1;2;9
SME;КОРП;9650;0;7470;3;SLX_Не работает INTERNET;1502087573;1502093227;0;0;0;0;0;0;0;0;0;0;0;0;2;9
Corporate;КОРП;9650;0;7470;3;SLX_Не работает INTERNET;1502087596;1502092501;0;0;0;0;0;0;0;0;0;0;0;0;2;9
ФЛ;МР;8679;9633;8750;2;Интернет. Не работает интернет;1502087658;1502150400;6;0;0;0;4;5;1;0;0;49;1;2;2;9
ФЛ;МР;8678;9633;8750;2;Интернет. Не работает интернет;1502087659;1502150400;5;0;0;0;1;1;1;0;0;48;1;5;2;9
ФЛ;МР;8678;10769;8750;3;ТВ. Рассыпание/замирание;1502087667;1502102682;7;0;0;0;4;5;0;0;0;27;1;0;2;9
ФЛ;МР;8678;9633;8750;3;Интернет. Не открываются страницы;1502087664;1502122223;9;0;0;0;1;3;0;0;0;19;1;1;2;9
ФЛ;МР;8680;9204;8750;2;Доп. услуга. IP ОПС. Не удается поставить/снять с охраны.;1502087684;1502093329;7;2;2;2;6;7;0;0;0;0;0;0;2;9
ФЛ;МР;8680;9205;8750;3;Телефония. Не работает исходящая связь;1502087687;1502124838;1;0;0;0;1;1;0;0;0;36;1;0;2;9
SME GS;КОРП;8680;9633;8750;4;Телефония. Тишина в трубке;1502087680;1502183469;6;0;0;0;1;1;0;0;0;0;0;0;2;9
ФЛ;МР;8679;9633;8750;3;Интернет. Не работает интернет;1502087703;1502180862;1;0;0;0;1;1;0;0;0;8;1;1;2;9
ФЛ;МР;8678;9633;8750;2;Интернет. Не открываются все страницы;1502087719;1502150400;7;0;0;0;1;1;1;0;0;48;1;2;2;9
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502087733;1502194250;10;0;0;0;1;2;0;0;0;51;1;2;2;9
ФЛ;МР;8679;9633;8750;3;Интернет. Не открываются страницы;1502087765;1502184087;3;0;0;0;1;1;0;0;0;19;1;2;2;9
ФЛ;МР;8679;9204;8750;4;Интернет. Не открываются все страницы;1502087783;1502150400;4;1;1;1;2;2;1;0;0;0;0;0;2;9
ФЛ;МР;8678;9633;8750;4;Интернет. Ошибка 691;1502087782;1502150400;6;0;0;0;1;1;1;0;0;0;0;0;2;9
ФЛ;МР;8678;9204;8750;3;ONT не на линии. Проблема с оптическим кабелем;1502087806;1502123772;1;0;0;0;1;1;0;0;0;46;1;0;2;9
ФЛ;МР;8678;9633;8750;2;Интернет. Не работает интернет;1502087881;1502150400;5;0;0;0;1;2;1;0;0;48;1;2;2;9
SOHO;КОРП;8678;9633;8750;3;Интернет. Не работает интернет;1502087887;1502181570;4;0;0;0;1;1;0;0;0;49;1;1;2;9
ФЛ;МР;8679;9633;8750;4;IP TV. Черный или синий экран;1502087924;1502150400;1;0;0;0;1;1;1;0;0;0;0;0;2;9
ФЛ;МР;8678;9204;8750;3;Перенос/замена модели ONT;1502088002;1502108755;1;0;0;0;1;1;0;0;0;31;1;0;2;9
ФЛ;МР;8678;9633;8750;3;Интернет. Не открываются все страницы;1502088076;1502196107;6;0;0;0;2;3;0;0;0;51;1;2;2;9
ФЛ;МР;8678;9633;8750;3;Интернет. Ошибка 651, 678 или 815;1502088095;1502122181;3;0;0;0;1;1;0;0;0;10;1;1;2;9
ФЛ;МР;8679;9204;8750;3;Интернет. Не открываются все страницы;1502088131;1502122737;4;0;0;0;1;1;0;0;0;4;1;0;2;9
SOHO_GS;КОРП;8680;9205;8750;3;Телефония. Тишина в трубке, нет зуммера;1502088117;1502104964;1;0;0;0;1;1;0;0;0;39;1;0;2;9
ФЛ;МР;8679;9633;8750;3;Интернет. Не работает интернет;1502088177;1502260934;2;0;0;0;2;2;0;0;0;19;1;2;2;9
ФЛ;МР;8680;9205;8750;5;Телефония. Посторонние шумы, эхо, треск, искажение голоса;1502088182;1502173790;3;0;0;0;3;3;0;0;0;0;0;0;2;9
ФЛ;МР;8680;9205;8750;3;Телефония. Тишина в трубке, нет зуммера;1502088204;1502122809;1;0;0;0;1;1;0;0;0;41;1;0;2;9
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502088262;1502109825;1;0;0;0;1;1;0;0;0;10;1;0;2;9
ФЛ;МР;8679;9204;8750;3;ТВ. Не получен IP-адрес;1502088318;1502101608;1;0;0;0;1;1;0;0;0;29;1;0;2;9
ФЛ;МР;8679;9633;8750;2;Интернет. Не открываются страницы;1502088315;1502150400;2;0;0;0;1;1;1;0;0;49;1;1;2;9
ФЛ;МР;8680;9205;8750;3;Телефония. Тишина в трубке, нет зуммера;1502088312;1502183890;2;0;0;0;1;1;0;0;0;21;1;1;2;9
